payment_id,rows_count,first_date,last_date,transaction_types,source,is_sale_api,sale_reason,status,status_detail,operation_type,order_id,gross_amount,commission_calc,shipping_calc,launch_net_calc,net_api,extrato_sum,diff_extrato_vs_launch,money_release_date,money_release_status,fetch_error
0008m333pd,1,22-01-2026,22-01-2026,payment,unresolved,False,unresolved_not_found_in_ml,,,,,0.0,0.0,0.0,0.0,0.0,-612.97,0.0,,,non_numeric_reference_id:0008m333pd
136565909343,5,06-01-2026,20-01-2026,mediation | payment | refund | reserve_for_dispute,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014221168032,37.8,17.04,0.0,20.76,20.76,0.0,-20.76,2026-01-06,released,
136859385813,1,07-01-2026,07-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014255381574,208.9,25.07,26.94,156.89,156.89,156.89,0.0,2026-01-07,released,
136978696919,1,04-01-2026,04-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014269845004,274.55,32.95,32.34,209.26,209.26,209.26,0.0,2026-01-04,released,
137002983591,1,10-01-2026,10-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014272851900,71.15,15.29,0.0,55.86,55.86,55.86,0.0,2026-01-10,released,
137262603377,1,01-01-2026,01-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014302439842,55.95,13.46,0.0,42.49,42.49,42.49,0.0,2026-01-01,released,
137346866576,1,03-01-2026,03-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014238898086,71.15,15.29,0.0,55.86,55.86,55.86,0.0,2026-01-03,released,
137369762181,1,06-01-2026,06-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014316038578,302.0,51.34,28.14,222.52,222.52,222.52,0.0,2026-01-06,released,
137614895655,6,21-01-2026,28-01-2026,mediation | payment | refund | reserve_for_dispute,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014349388500,369.55,44.35,28.14,297.06,297.06,-75.04,-372.1,2026-01-21,released,
137617703230,3,10-01-2026,10-01-2026,mediation | refund | reserve_for_dispute,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014270595952,631.65,75.8,28.14,527.71,527.71,-28.14,-555.85,2025-12-26,released,
137641901085,1,06-01-2026,06-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014352328108,68.3,14.95,0.0,53.35,53.35,53.35,0.0,2026-01-06,released,
137801994937,1,17-01-2026,17-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014372174448,71.51,15.33,0.0,56.18,56.18,56.18,0.0,2026-01-17,released,
